balls_faced,runs_scored,dismissals,strike_rate,batting_avg,balls_bowled,runs_conceded,wickets,economy,bowling_avg,player_name
,,,120.0,25.0,24.0,27.0,2.0,6.75,13.5,A Ashok
60.0,75.0,3.0,125.0,25.0,,,,8.0,30.0,A Athanaze
101.0,115.0,2.0,113.86138613861385,57.5,,,,8.0,30.0,A Bagai
1386.0,1666.0,77.0,120.2020202020202,21.636363636363637,,,,8.0,30.0,A Balbirnie
4.0,1.0,2.0,25.0,0.5,,,,8.0,30.0,A Bhagwat
3.0,2.0,1.0,66.66666666666666,2.0,18.0,12.0,2.0,4.0,6.0,A Bhattarai
24.0,20.0,4.0,83.33333333333334,5.0,690.0,914.0,42.0,7.947826086956521,21.761904761904763,A Bohara
71.0,61.0,8.0,85.91549295774648,7.625,677.0,915.0,30.0,8.10930576070901,30.5,A Dananjaya
75.0,65.0,6.0,86.66666666666667,10.833333333333334,258.0,305.0,14.0,7.093023255813954,21.785714285714285,A Dutt
19.0,17.0,2.0,89.47368421052632,8.5,,,,8.0,30.0,A Gorawara
84.0,84.0,8.0,100.0,10.5,6.0,20.0,0.0,20.0,20.0,A Johnson
7.0,4.0,1.0,57.14285714285714,4.0,24.0,31.0,1.0,7.75,31.0,A Karn
,,,120.0,25.0,204.0,220.0,16.0,6.470588235294118,13.75,A Mishra
38.0,51.0,2.0,134.21052631578948,25.5,144.0,146.0,9.0,6.083333333333333,16.22222222222222,A Nao
13.0,10.0,2.0,76.92307692307693,5.0,126.0,176.0,2.0,8.38095238095238,88.0,A Ndlovu
23.0,6.0,2.0,26.08695652173913,3.0,402.0,481.0,23.0,7.17910447761194,20.91304347826087,A Nehra
,,,120.0,25.0,48.0,67.0,4.0,8.375,16.75,A Neill
35.0,17.0,6.0,48.57142857142857,2.8333333333333335,828.0,986.0,58.0,7.144927536231884,17.0,A Nortje
63.0,70.0,3.0,111.11111111111111,23.333333333333332,,,,8.0,30.0,A Saud
311.0,426.0,13.0,136.97749196141478,32.76923076923077,1.0,3.0,0.0,18.0,3.0,A Sharafu
98.0,108.0,5.0,110.20408163265304,21.6,,,,8.0,30.0,A Sharma
20.0,9.0,4.0,45.0,2.25,272.0,369.0,15.0,8.139705882352942,24.6,A Shukla
25.0,21.0,4.0,84.0,5.25,114.0,211.0,4.0,11.105263157894736,52.75,A Simelane
426.0,411.0,28.0,96.47887323943662,14.678571428571429,341.0,357.0,26.0,6.281524926686217,13.73076923076923,A Vala
12.0,5.0,1.0,41.66666666666667,5.0,,,,8.0,30.0,A Valthapa
67.0,58.0,10.0,86.56716417910447,5.8,2009.0,2420.0,116.0,7.227476356396217,20.862068965517242,A Zampa
191.0,185.0,14.0,96.8586387434555,13.214285714285714,,,,8.0,30.0,AA Obanda
23.0,10.0,1.0,43.47826086956522,10.0,65.0,119.0,6.0,10.984615384615385,19.833333333333332,AAP Atkinson
4.0,3.0,0.0,75.0,3.0,120.0,170.0,12.0,8.5,14.166666666666666,AB Dinda
715.0,1004.0,39.0,140.41958041958043,25.743589743589745,,,,8.0,30.0,AB de Villiers
271.0,277.0,21.0,102.21402214022139,13.19047619047619,1018.0,1118.0,54.0,6.589390962671905,20.703703703703702,AC Agar
14.0,10.0,6.0,71.42857142857143,1.6666666666666667,537.0,712.0,34.0,7.955307262569832,20.941176470588236,AC Evans
62.0,76.0,1.0,122.58064516129032,76.0,,,,8.0,30.0,AC Voges
1365.0,1939.0,62.0,142.05128205128204,31.274193548387096,,,,8.0,30.0,AD Hales
876.0,1031.0,38.0,117.69406392694064,27.13157894736842,832.0,969.0,28.0,6.987980769230768,34.607142857142854,AD Mathews
124.0,160.0,8.0,129.03225806451613,20.0,,,,8.0,30.0,AD Poynter
605.0,1017.0,44.0,168.09917355371903,23.113636363636363,1052.0,1621.0,53.0,9.245247148288975,30.58490566037736,AD Russell
698.0,810.0,33.0,116.0458452722063,24.545454545454547,,,,8.0,30.0,ADS Fletcher
79.0,80.0,10.0,101.26582278481013,8.0,1039.0,1410.0,63.0,8.142444658325312,22.38095238095238,AF Milne
83.0,58.0,9.0,69.87951807228916,6.444444444444445,390.0,444.0,25.0,6.8307692307692305,17.76,AG Cremer
2133.0,3034.0,89.0,142.24097515236755,34.08988764044944,12.0,27.0,0.0,13.5,27.0,AJ Finch
227.0,245.0,15.0,107.92951541850219,16.333333333333332,1386.0,1666.0,62.0,7.212121212121212,26.870967741935484,AJ Hosein
52.0,78.0,6.0,150.0,13.0,,,,8.0,30.0,AJ Staal
130.0,110.0,9.0,84.61538461538461,12.222222222222221,78.0,75.0,4.0,5.769230769230769,18.75,AJ Turner
76.0,83.0,8.0,109.21052631578947,10.375,683.0,972.0,52.0,8.538799414348462,18.692307692307693,AJ Tye
32.0,38.0,2.0,118.75,19.0,36.0,45.0,2.0,7.5,22.5,AK Kitchen
9.0,2.0,1.0,22.22222222222222,2.0,,,,8.0,30.0,AK Mandal
896.0,1294.0,44.0,144.41964285714286,29.40909090909091,336.0,457.0,13.0,8.160714285714286,35.15384615384615,AK Markram
65.0,59.0,5.0,90.76923076923077,11.8,6.0,17.0,0.0,17.0,17.0,AK Perera
93.0,112.0,7.0,120.43010752688173,16.0,,,,8.0,30.0,AK Sah
150.0,162.0,18.0,108.0,9.0,748.0,1083.0,53.0,8.68716577540107,20.433962264150942,AL Phehlukwayo
21.0,25.0,3.0,119.04761904761905,8.333333333333334,60.0,104.0,2.0,10.4,52.0,AM Ellis
4.0,9.0,0.0,225.0,9.0,96.0,174.0,3.0,10.875,58.0,AM Fernando
8.0,3.0,1.0,37.5,3.0,72.0,104.0,3.0,8.666666666666666,34.666666666666664,AM Guruge
99.0,128.0,6.0,129.2929292929293,21.333333333333332,180.0,246.0,11.0,8.2,22.363636363636363,AM Hardie
8.0,5.0,1.0,62.5,5.0,12.0,12.0,0.0,6.0,12.0,AM McCarthy
29.0,19.0,2.0,65.51724137931035,9.5,342.0,437.0,21.0,7.666666666666666,20.80952380952381,AM Phangiso
289.0,314.0,16.0,108.65051903114187,19.625,,,,8.0,30.0,AM Rahane
79.0,85.0,4.0,107.59493670886076,21.25,,,,8.0,30.0,AN Kervezee
79.0,111.0,4.0,140.50632911392404,27.75,72.0,85.0,2.0,7.083333333333334,42.5,AP Devcich
57.0,73.0,3.0,128.0701754385965,24.333333333333332,300.0,353.0,15.0,7.0600000000000005,23.533333333333335,AR Cusack
52.0,36.0,1.0,69.23076923076923,36.0,,,,8.0,30.0,AR Gandhi
84.0,88.0,7.0,104.76190476190477,12.571428571428571,240.0,314.0,12.0,7.85,26.166666666666668,AR McBrine
68.0,79.0,2.0,116.1764705882353,39.5,180.0,250.0,8.0,8.333333333333332,31.25,AR Nurse
378.0,523.0,28.0,138.35978835978835,18.678571428571427,1183.0,1473.0,71.0,7.47083685545224,20.746478873239436,AR Patel
5.0,5.0,1.0,100.0,5.0,24.0,17.0,2.0,4.25,8.5,AR White
1.0,1.0,0.0,100.0,1.0,12.0,14.0,0.0,7.0,14.0,AS Dean
73.0,76.0,5.0,104.10958904109589,15.2,90.0,93.0,7.0,6.200000000000001,13.285714285714286,AS Hansra
4.0,0.0,1.0,0.0,0.0,,,,8.0,30.0,AS Hundal
118.0,123.0,7.0,104.23728813559323,17.571428571428573,894.0,1351.0,55.0,9.06711409395973,24.563636363636363,AS Joseph
215.0,233.0,22.0,108.37209302325581,10.590909090909092,,,,8.0,30.0,AT Carey
155.0,159.0,12.0,102.58064516129033,13.25,24.0,30.0,3.0,7.5,10.0,AT Nidamanuru
50.0,42.0,4.0,84.0,10.5,,,,8.0,30.0,AT Rayudu
156.0,145.0,21.0,92.94871794871796,6.904761904761905,2498.0,3113.0,128.0,7.477181745396317,24.3203125,AU Rashid
14.0,7.0,2.0,50.0,3.5,156.0,115.0,11.0,4.423076923076923,10.454545454545455,AY Patel
6.0,2.0,0.0,33.33333333333333,2.0,60.0,79.0,7.0,7.9,11.285714285714286,Aakash Chand
37.0,68.0,3.0,183.7837837837838,22.666666666666668,84.0,156.0,3.0,11.142857142857142,52.0,Aamer Jamal
6.0,15.0,0.0,250.0,15.0,36.0,37.0,2.0,6.166666666666666,18.5,Aamer Yamin
275.0,309.0,17.0,112.36363636363636,18.176470588235293,48.0,91.0,2.0,11.375,45.5,Aarif Sheikh
2.0,1.0,0.0,50.0,1.0,12.0,17.0,0.0,8.5,17.0,Aarnav Patel
669.0,768.0,31.0,114.79820627802691,24.774193548387096,,,,8.0,30.0,Aasif Sheikh
139.0,123.0,9.0,88.48920863309353,13.666666666666666,336.0,325.0,19.0,5.803571428571429,17.105263157894736,Aayan Afzal Khan
82.0,94.0,10.0,114.6341463414634,9.4,381.0,527.0,36.0,8.299212598425196,14.63888888888889,Abbas Afridi
65.0,52.0,5.0,80.0,10.4,24.0,35.0,2.0,8.75,17.5,Abdul Razzaq
58.0,66.0,4.0,113.79310344827587,16.5,,,,8.0,30.0,Abdul Samad
15.0,8.0,2.0,53.333333333333336,4.0,,,,8.0,30.0,Abdul Shakoor
37.0,41.0,2.0,110.8108108108108,20.5,,,,8.0,30.0,Abdullah Shafique
24.0,16.0,4.0,66.66666666666666,4.0,291.0,336.0,15.0,6.927835051546391,22.4,Abdur Razzak
